id,seed,player_form,sea_area,investigation_room_type,welfare_volume,sanitary_room,fishing_system_weight,location_fishing_system,resilience_GM_m
1,12kts,Original,South Sea,2nd stage,Uninstalled,Uninstalled,420kg,21 frame,0.574
2,12kts,Original,South Sea,2nd stage,Uninstalled,big,80kg,19 frame,0.642
3,12kts,Original,South Sea,2nd stage,cow,cow,250kg,21 frame,0.584
4,12kts,Original,South Sea,2nd stage,cow,big,80kg,20 frames,0.617
5,12kts,Original,West Sea,2nd stage,Uninstalled,cow,250kg,21 frame,0.572
6,12kts,Original,West Sea,2nd stage,Uninstalled,big,80kg,20 frames,0.61
7,12kts,Original,West Sea,2nd stage,middle,Uninstalled,420kg,20 frames,0.495
8,12kts,Original,West Sea,2nd stage,middle,cow,250kg,19 frame,0.529
9,12kts,Bulbous,East Sea,2nd stage,Uninstalled,Uninstalled,250kg,20 frames,0.653
10,12kts,Bulbous,East Sea,2nd stage,Uninstalled,cow,420kg,19 frame,0.616
11,12kts,Bulbous,East Sea,2nd stage,middle,Uninstalled,80kg,19 frame,0.644
12,12kts,Bulbous,East Sea,2nd stage,middle,big,420kg,21 frame,0.572
13,12kts,Bulbous,South Sea,2nd stage,cow,cow,80kg,21 frame,0.634
14,12kts,Bulbous,South Sea,2nd stage,cow,big,250kg,20 frames,0.598
15,12kts,Bulbous,South Sea,2nd stage,middle,Uninstalled,250kg,19 frame,0.587
16,12kts,Bulbous,South Sea,2nd stage,middle,cow,420kg,20 frames,0.543
17,12kts,Spoon,East Sea,2nd stage,cow,Uninstalled,80kg,21 frame,0.649
18,12kts,Spoon,East Sea,2nd stage,cow,big,420kg,19 frame,0.578
19,12kts,Spoon,East Sea,2nd stage,middle,cow,80kg,20 frames,0.637
20,12kts,Spoon,East Sea,2nd stage,middle,big,250kg,21 frame,0.595
21,12kts,Spoon,West Sea,2nd stage,Uninstalled,Uninstalled,80kg,19 frame,0.612
22,12kts,Spoon,West Sea,2nd stage,Uninstalled,big,420kg,21 frame,0.536
23,12kts,Spoon,West Sea,2nd stage,cow,Uninstalled,250kg,20 frames,0.549
24,12kts,Spoon,West Sea,2nd stage,cow,cow,420kg,19 frame,0.512
25,14kts,Original,East Sea,2nd stage,cow,Uninstalled,250kg,19 frame,0.59
26,14kts,Original,East Sea,2nd stage,cow,cow,420kg,20 frames,0.557
27,14kts,Original,East Sea,2nd stage,middle,cow,80kg,21 frame,0.611
28,14kts,Original,East Sea,2nd stage,middle,big,250kg,20 frames,0.575
29,14kts,Original,South Sea,2nd stage,Uninstalled,Uninstalled,80kg,19 frame,0.671
30,14kts,Original,South Sea,2nd stage,Uninstalled,big,420kg,21 frame,0.609
31,14kts,Original,South Sea,2nd stage,middle,Uninstalled,250kg,20 frames,0.598
32,14kts,Original,South Sea,2nd stage,middle,cow,420kg,19 frame,0.565
33,14kts,Bulbous,East Sea,2nd stage,Uninstalled,cow,250kg,21 frame,0.585
34,14kts,Bulbous,East Sea,2nd stage,Uninstalled,big,80kg,20 frames,0.622
35,14kts,Bulbous,East Sea,2nd stage,cow,Uninstalled,420kg,21 frame,0.524
36,14kts,Bulbous,East Sea,2nd stage,cow,big,80kg,19 frame,0.597
37,14kts,Bulbous,West Sea,2nd stage,cow,Uninstalled,420kg,20 frames,0.488
38,14kts,Bulbous,West Sea,2nd stage,cow,cow,250kg,19 frame,0.525
39,14kts,Bulbous,West Sea,2nd stage,middle,Uninstalled,420kg,21 frame,0.471
40,14kts,Bulbous,West Sea,2nd stage,middle,big,80kg,19 frame,0.545
41,14kts,Spoon,South Sea,2nd stage,Uninstalled,Uninstalled,250kg,19 frame,0.631
42,14kts,Spoon,South Sea,2nd stage,Uninstalled,cow,420kg,20 frames,0.594
43,14kts,Spoon,South Sea,2nd stage,cow,cow,80kg,21 frame,0.642
44,14kts,Spoon,South Sea,2nd stage,cow,big,250kg,20 frames,0.607
45,14kts,Spoon,West Sea,2nd stage,Uninstalled,cow,80kg,20 frames,0.639
46,14kts,Spoon,West Sea,2nd stage,Uninstalled,big,250kg,21 frame,0.602
47,14kts,Spoon,West Sea,2nd stage,middle,Uninstalled,80kg,21 frame,0.597
48,14kts,Spoon,West Sea,2nd stage,middle,big,420kg,19 frame,0.522
49,16kts,Original,East Sea,2nd stage,Uninstalled,Uninstalled,250kg,20 frames,0.619
50,16kts,Original,East Sea,2nd stage,Uninstalled,cow,420kg,19 frame,0.601
51,16kts,Original,East Sea,2nd stage,cow,Uninstalled,80kg,19 frame,0.63
52,16kts,Original,East Sea,2nd stage,cow,big,420kg,21 frame,0.54
53,16kts,Original,West Sea,2nd stage,cow,cow,80kg,20 frames,0.587
54,16kts,Original,West Sea,2nd stage,cow,big,250kg,21 frame,0.55
55,16kts,Original,West Sea,2nd stage,middle,Uninstalled,80kg,21 frame,0.569
56,16kts,Original,West Sea,2nd stage,middle,big,420kg,19 frame,0.495
57,16kts,Bulbous,South Sea,2nd stage,Uninstalled,Uninstalled,80kg,21 frame,0.698
58,16kts,Bulbous,South Sea,2nd stage,Uninstalled,big,420kg,19 frame,0.629
59,16kts,Bulbous,South Sea,2nd stage,middle,cow,80kg,20 frames,0.655
60,16kts,Bulbous,South Sea,2nd stage,middle,big,250kg,21 frame,0.621
61,16kts,Bulbous,West Sea,2nd stage,Uninstalled,cow,80kg,21 frame,0.582
62,16kts,Bulbous,West Sea,2nd stage,Uninstalled,big,250kg,20 frames,0.556
63,16kts,Bulbous,West Sea,2nd stage,cow,Uninstalled,250kg,19 frame,0.533
64,16kts,Bulbous,West Sea,2nd stage,cow,cow,420kg,20 frames,0.496
65,16kts,Spoon,East Sea,2nd stage,Uninstalled,Uninstalled,420kg,20 frames,0.545
66,16kts,Spoon,East Sea,2nd stage,Uninstalled,cow,250kg,19 frame,0.583
67,16kts,Spoon,East Sea,2nd stage,middle,cow,250kg,21 frame,0.541
68,16kts,Spoon,East Sea,2nd stage,middle,big,80kg,20 frames,0.579
69,16kts,Spoon,South Sea,2nd stage,cow,Uninstalled,420kg,21 frame,0.649
70,16kts,Spoon,South Sea,2nd stage,cow,big,80kg,19 frame,0.716
71,16kts,Spoon,South Sea,2nd stage,middle,Uninstalled,420kg,20 frames,0.628
72,16kts,Spoon,South Sea,2nd stage,middle,cow,250kg,19 frame,0.662
73,12kts,Original,East Sea,3rd stage,cow,Uninstalled,420kg,21 frame,0.494
74,12kts,Original,East Sea,3rd stage,cow,Uninstalled,420kg,19 frame,0.493
75,12kts,Original,South Sea,3rd stage,cow,cow,80kg,20 frames,0.606
76,12kts,Original,West Sea,3rd stage,cow,cow,250kg,19 frame,0.537
77,12kts,Bulbous,East Sea,3rd stage,cow,big,420kg,21 frame,0.579
78,12kts,Bulbous,South Sea,3rd stage,cow,big,250kg,21 frame,0.585
79,12kts,Bulbous,West Sea,3rd stage,cow,Uninstalled,80kg,21 frame,0.632
80,12kts,Bulbous,West Sea,3rd stage,cow,Uninstalled,420kg,20 frames,0.557
81,12kts,Spoon,East Sea,3rd stage,cow,cow,80kg,19 frame,0.617
82,12kts,Spoon,South Sea,3rd stage,cow,Uninstalled,80kg,20 frames,0.622
83,12kts,Spoon,South Sea,3rd stage,cow,big,420kg,19 frame,0.551
84,12kts,Spoon,West Sea,3rd stage,cow,big,250kg,20 frames,0.536
85,14kts,Original,East Sea,3rd stage,cow,cow,250kg,21 frame,0.581
86,14kts,Original,South Sea,3rd stage,cow,big,80kg,19 frame,0.636
87,14kts,Original,West Sea,3rd stage,cow,cow,420kg,21 frame,0.5
88,14kts,Original,West Sea,3rd stage,cow,Uninstalled,250kg,20 frames,0.538
89,14kts,Bulbous,East Sea,3rd stage,cow,Uninstalled,80kg,21 frame,0.585
90,14kts,Bulbous,South Sea,3rd stage,cow,Uninstalled,250kg,19 frame,0.573
91,14kts,Bulbous,South Sea,3rd stage,cow,cow,250kg,20 frames,0.572
92,14kts,Bulbous,West Sea,3rd stage,cow,big,420kg,21 frame,0.476
93,14kts,Spoon,East Sea,3rd stage,cow,big,80kg,20 frames,0.668
94,14kts,Spoon,East Sea,3rd stage,cow,cow,250kg,21 frame,0.634
95,14kts,Spoon,South Sea,3rd stage,cow,big,420kg,20 frames,0.557
96,14kts,Spoon,West Sea,3rd stage,cow,Uninstalled,80kg,19 frame,0.603
97,16kts,Original,East Sea,3rd stage,cow,cow,420kg,19 frame,0.545
98,16kts,Original,South Sea,3rd stage,cow,big,250kg,20 frames,0.437
99,16kts,Original,South Sea,3rd stage,cow,Uninstalled,250kg,21 frame,0.437
100,16kts,Original,West Sea,3rd stage,cow,big,80kg,19 frame,0.575
101,16kts,Bulbous,East Sea,3rd stage,cow,cow,420kg,20 frames,0.526
102,16kts,Bulbous,East Sea,3rd stage,cow,cow,420kg,19 frame,0.51
103,16kts,Bulbous,South Sea,3rd stage,cow,cow,80kg,21 frame,0.662
104,16kts,Bulbous,West Sea,3rd stage,cow,Uninstalled,420kg,20 frames,0.486
105,16kts,Spoon,East Sea,3rd stage,cow,big,250kg,19 frame,0.547
106,16kts,Spoon,South Sea,3rd stage,cow,Uninstalled,420kg,21 frame,0.636
107,16kts,Spoon,West Sea,3rd stage,cow,cow,80kg,20 frames,0.402
108,16kts,Spoon,West Sea,3rd stage,cow,Uninstalled,250kg,19 frame,0.362
109,12kts,Original,East Sea,3rd stage,cow,big,80kg,21 frame,0.569
110,12kts,Original,East Sea,3rd stage,middle,Uninstalled,420kg,19 frame,0.476
111,12kts,Original,South Sea,3rd stage,middle,cow,80kg,20 frames,0.588
112,12kts,Original,West Sea,3rd stage,middle,cow,250kg,19 frame,0.518
113,12kts,Bulbous,East Sea,3rd stage,middle,big,420kg,21 frame,0.561
114,12kts,Bulbous,South Sea,3rd stage,middle,big,250kg,21 frame,0.567
115,12kts,Bulbous,West Sea,3rd stage,middle,Uninstalled,80kg,21 frame,0.613
116,12kts,Bulbous,West Sea,3rd stage,middle,Uninstalled,420kg,20 frames,0.539
117,12kts,Spoon,East Sea,3rd stage,middle,cow,80kg,19 frame,0.618
118,12kts,Spoon,South Sea,3rd stage,middle,Uninstalled,80kg,20 frames,0.603
119,12kts,Spoon,South Sea,3rd stage,middle,big,420kg,19 frame,0.532
120,12kts,Spoon,West Sea,3rd stage,middle,big,250kg,20 frames,0.519
121,14kts,Original,East Sea,3rd stage,middle,cow,250kg,21 frame,0.563
122,14kts,Original,South Sea,3rd stage,middle,big,80kg,19 frame,0.619
123,14kts,Original,West Sea,3rd stage,middle,cow,420kg,21 frame,0.484
124,14kts,Original,West Sea,3rd stage,middle,Uninstalled,250kg,20 frames,0.521
125,14kts,Bulbous,East Sea,3rd stage,middle,Uninstalled,80kg,21 frame,0.566
126,14kts,Bulbous,South Sea,3rd stage,middle,Uninstalled,250kg,19 frame,0.554
127,14kts,Bulbous,South Sea,3rd stage,middle,cow,250kg,20 frames,0.554
128,14kts,Bulbous,West Sea,3rd stage,middle,big,420kg,21 frame,0.46
129,14kts,Spoon,East Sea,3rd stage,middle,big,80kg,20 frames,0.65
130,14kts,Spoon,East Sea,3rd stage,middle,cow,250kg,21 frame,0.615
131,14kts,Spoon,South Sea,3rd stage,middle,big,420kg,20 frames,0.539
132,14kts,Spoon,West Sea,3rd stage,middle,Uninstalled,80kg,19 frame,0.584
133,16kts,Original,East Sea,3rd stage,middle,cow,420kg,19 frame,0.527
134,16kts,Original,South Sea,3rd stage,middle,big,250kg,20 frames,0.419
135,16kts,Original,South Sea,3rd stage,middle,Uninstalled,250kg,21 frame,0.42
136,16kts,Original,West Sea,3rd stage,middle,big,80kg,19 frame,0.557
137,16kts,Bulbous,East Sea,3rd stage,middle,cow,420kg,20 frames,0.509
138,16kts,Bulbous,East Sea,3rd stage,middle,cow,420kg,19 frame,0.508
139,16kts,Bulbous,South Sea,3rd stage,middle,cow,80kg,21 frame,0.646
140,16kts,Bulbous,West Sea,3rd stage,middle,Uninstalled,420kg,20 frames,0.469
141,16kts,Spoon,East Sea,3rd stage,middle,big,250kg,19 frame,0.529
142,16kts,Spoon,South Sea,3rd stage,middle,Uninstalled,420kg,21 frame,0.618
143,16kts,Spoon,West Sea,3rd stage,middle,cow,80kg,20 frames,0.385
144,16kts,Spoon,West Sea,3rd stage,middle,Uninstalled,250kg,19 frame,0.345
