id,speed,player_form,Sea area,gear_ratio,estimated_performance_knots,max_speed_knots,peach_B_P_D
1,12kts,Original,East Sea,3.4,14.59,22.32,1.2965
2,12kts,Original,East Sea,2.4,12.02,15.1,0.4329
3,12kts,Original,South Sea,3.4,15.67,22.53,1.3262
4,12kts,Original,South Sea,3.08,16.03,22.55,0.9325
5,12kts,Original,South Sea,2.8,14.29,20.72,0.6485
6,12kts,Original,South Sea,2.4,12.54,15.48,0.436
7,12kts,Original,West Sea,3.08,14.62,22.24,0.9038
8,12kts,Original,West Sea,2.8,13.57,20.5,0.329
9,12kts,Bulbous,East Sea,3.4,15.53,23.83,1.3333
10,12kts,Bulbous,East Sea,3.08,16.03,23.66,0.9385
11,12kts,Bulbous,East Sea,2.8,14.04,21.52,0.6523
12,12kts,Bulbous,East Sea,2.4,12.37,15.35,0.4356
13,12kts,Bulbous,South Sea,3.4,15.67,23.63,1.3305
14,12kts,Bulbous,South Sea,2.4,12.57,15.4,0.4352
15,12kts,Bulbous,West Sea,3.08,14.99,23.32,0.9237
16,12kts,Bulbous,West Sea,2.8,13.56,20.96,0.6353
17,12kts,Spoon,East Sea,3.08,15.77,22.81,0.9307
18,12kts,Spoon,East Sea,2.8,14,20.82,0.6427
19,12kts,Spoon,South Sea,3.4,15.34,22.85,1.3193
20,12kts,Spoon,South Sea,2.4,12.43,15.38,0.4359
21,12kts,Spoon,West Sea,3.4,14.8,22.61,1.2981
22,12kts,Spoon,West Sea,3.08,15.21,22.59,0.9176
23,12kts,Spoon,West Sea,2.8,13.78,20.63,0.6363
24,12kts,Spoon,West Sea,2.4,12.18,15.26,0.4359
25,14kts,Original,East Sea,3.4,17.45,23.78,1.5603
26,14kts,Original,East Sea,3.08,18,24.21,1.069
27,14kts,Original,East Sea,2.8,17.65,23.83,0.8004
28,14kts,Original,East Sea,2.4,16.52,22.7,0.5943
29,14kts,Original,South Sea,3.08,18,24.3,1.069
30,14kts,Original,South Sea,2.8,17.86,23.86,0.7974
31,14kts,Original,West Sea,3.4,16.71,23.6,1.4754
32,14kts,Original,West Sea,2.4,15.87,21.91,0.581
33,14kts,Bulbous,East Sea,3.08,18.4,25.4,1.0801
34,14kts,Bulbous,East Sea,2.8,17.98,24.71,0.8016
35,14kts,Bulbous,South Sea,3.4,17.88,25.02,1.5083
36,14kts,Bulbous,South Sea,2.4,16.96,23.94,0.5953
37,14kts,Bulbous,West Sea,3.4,17.14,24.61,1.4916
38,14kts,Bulbous,West Sea,3.08,17.62,25.06,1.0686
39,14kts,Bulbous,West Sea,2.8,17.27,24.35,0.7902
40,14kts,Bulbous,West Sea,2.4,16.32,23.16,0.586
41,14kts,Spoon,East Sea,3.08,18.16,24.85,1.0731
42,14kts,Spoon,East Sea,2.8,17.79,24.23,0.7981
43,14kts,Spoon,South Sea,3.4,17.61,24.31,1.5028
44,14kts,Spoon,South Sea,3.08,18.06,24.75,1.0715
45,14kts,Spoon,South Sea,2.8,17.7,24.15,0.7974
46,14kts,Spoon,South Sea,2.4,16.72,23.12,0.5901
47,14kts,Spoon,West Sea,3.4,17.33,24.1,1.4932
48,14kts,Spoon,West Sea,2.4,16.53,22.75,0.5872
49,16kts,Original,East Sea,3.4,18.09,24.84,1.6458
50,16kts,Original,East Sea,2.4,18.44,24.24,0.6777
51,16kts,Original,South Sea,3.08,19.08,25.4,1.1826
52,16kts,Original,South Sea,2.8,19.05,25.24,0.891
53,16kts,Original,West Sea,3.4,18.06,24.66,1.6388
54,16kts,Original,West Sea,3.08,18.57,25.11,1.1697
55,16kts,Original,West Sea,2.8,18.46,24.87,0.8786
56,16kts,Original,West Sea,2.4,17.92,24.05,0.6729
57,16kts,Bulbous,East Sea,3.4,18.92,26.21,1.6653
58,16kts,Bulbous,East Sea,2.4,18.9,25.44,0.6946
59,16kts,Bulbous,South Sea,3.4,19.26,26.44,1.6761
60,16kts,Bulbous,South Sea,3.08,19.84,26.86,1.2086
61,16kts,Bulbous,South Sea,2.8,19.85,26.85,0.9142
62,16kts,Bulbous,South Sea,2.4,19.53,25.82,0.7049
63,16kts,Bulbous,West Sea,3.08,19.17,26.29,1.1933
64,16kts,Bulbous,West Sea,2.8,19.2,26.2,0.9002
65,16kts,Spoon,East Sea,3.4,18.4,25.19,1.6456
66,16kts,Spoon,East Sea,3.08,18.88,25.58,1.1808
67,16kts,Spoon,East Sea,2.8,18.81,25.4,0.8878
68,16kts,Spoon,East Sea,2.4,18.31,24.4,0.6775
69,16kts,Spoon,South Sea,3.08,19.31,26.01,1.1956
70,16kts,Spoon,South Sea,2.8,19.36,25.93,0.902
71,16kts,Spoon,West Sea,3.4,18.46,25.04,1.642
72,16kts,Spoon,West Sea,2.4,18.08,24.29,0.675
