id,spped,player_form,sea_area,investigation_room_type,welfare_volume,sanitary_room,fishing_system_weight,location_of_fishing_system,resilience_GM_m
1,14kts,Original,South Sea,2nd stage,Uninstalled,Uninstalled,80kg,21 frame,0.076
2,14kts,Original,South Sea,2nd stage,Uninstalled,big,420kg,19 frame,0.051
3,14kts,Original,South Sea,2nd stage,cow,cow,250kg,21 frame,0.085
4,14kts,Original,South Sea,2nd stage,cow,big,420kg,20 frames,0.035
5,14kts,Original,West Sea,2nd stage,Uninstalled,cow,250kg,21 frame,0.107
6,14kts,Original,West Sea,2nd stage,Uninstalled,big,420kg,20 frames,0.088
7,14kts,Original,West Sea,2nd stage,middle,Uninstalled,80kg,20 frames,0.121
8,14kts,Original,West Sea,2nd stage,middle,cow,250kg,19 frame,0.101
9,14kts,Bulbous,East Sea,2nd stage,Uninstalled,Uninstalled,250kg,20 frames,0.039
10,14kts,Bulbous,East Sea,2nd stage,Uninstalled,cow,80kg,19 frame,0.06
11,14kts,Bulbous,East Sea,2nd stage,middle,Uninstalled,420kg,19 frame,0.014
12,14kts,Bulbous,East Sea,2nd stage,middle,big,80kg,21 frame,0.052
13,14kts,Bulbous,South Sea,2nd stage,cow,cow,420kg,21 frame,0.074
14,14kts,Bulbous,South Sea,2nd stage,cow,big,250kg,20 frames,0.094
15,14kts,Bulbous,South Sea,2nd stage,middle,Uninstalled,250kg,19 frame,0.089
16,14kts,Bulbous,South Sea,2nd stage,middle,cow,80kg,20 frames,0.11
17,14kts,Spoon,East Sea,2nd stage,cow,Uninstalled,420kg,21 frame,0.036
18,14kts,Spoon,East Sea,2nd stage,cow,big,80kg,19 frame,0.037
19,14kts,Spoon,East Sea,2nd stage,middle,cow,420kg,20 frames,0.071
20,14kts,Spoon,East Sea,2nd stage,middle,big,250kg,21 frame,0.034
21,14kts,Spoon,West Sea,2nd stage,Uninstalled,Uninstalled,420kg,19 frame,0.06
22,14kts,Spoon,West Sea,2nd stage,Uninstalled,big,80kg,21 frame,0.099
23,14kts,Spoon,West Sea,2nd stage,cow,Uninstalled,250kg,20 frames,0.073
24,14kts,Spoon,West Sea,2nd stage,cow,cow,80kg,19 frame,0.092
25,16kts,Original,East Sea,2nd stage,cow,Uninstalled,250kg,19 frame,0.098
26,16kts,Original,East Sea,2nd stage,cow,cow,80kg,20 frames,0.119
27,16kts,Original,East Sea,2nd stage,middle,cow,420kg,21 frame,0.075
28,16kts,Original,East Sea,2nd stage,middle,big,250kg,20 frames,0.094
29,16kts,Original,South Sea,2nd stage,Uninstalled,Uninstalled,420kg,19 frame,0.021
30,16kts,Original,South Sea,2nd stage,Uninstalled,big,80kg,21 frame,0.058
31,16kts,Original,South Sea,2nd stage,middle,Uninstalled,250kg,20 frames,0.033
32,16kts,Original,South Sea,2nd stage,middle,cow,80kg,19 frame,0.051
33,16kts,Bulbous,East Sea,2nd stage,Uninstalled,cow,250kg,21 frame,0.067
34,16kts,Bulbous,East Sea,2nd stage,Uninstalled,big,420kg,20 frames,0.072
35,16kts,Bulbous,East Sea,2nd stage,cow,Uninstalled,80kg,21 frame,0.081
36,16kts,Bulbous,East Sea,2nd stage,cow,big,420kg,19 frame,0.067
37,16kts,Bulbous,West Sea,2nd stage,cow,Uninstalled,80kg,20 frames,0.087
38,16kts,Bulbous,West Sea,2nd stage,cow,cow,250kg,19 frame,0.067
39,16kts,Bulbous,West Sea,2nd stage,middle,Uninstalled,80kg,21 frame,0.083
40,16kts,Bulbous,West Sea,2nd stage,middle,big,420kg,19 frame,0.045
41,16kts,Spoon,South Sea,2nd stage,Uninstalled,Uninstalled,250kg,19 frame,0.153
42,16kts,Spoon,South Sea,2nd stage,Uninstalled,cow,80kg,20 frames,0.174
43,16kts,Spoon,South Sea,2nd stage,cow,cow,420kg,21 frame,0.128
44,16kts,Spoon,South Sea,2nd stage,cow,big,250kg,20 frames,0.147
45,16kts,Spoon,West Sea,2nd stage,Uninstalled,cow,420kg,20 frames,0.067
46,16kts,Spoon,West Sea,2nd stage,Uninstalled,big,250kg,21 frame,0.088
47,16kts,Spoon,West Sea,2nd stage,middle,Uninstalled,420kg,21 frame,0.059
48,16kts,Spoon,West Sea,2nd stage,middle,big,80kg,19 frame,0.094
49,18kts,Original,East Sea,2nd stage,Uninstalled,Uninstalled,250kg,20 frames,0.097
50,18kts,Original,East Sea,2nd stage,Uninstalled,cow,80kg,19 frame,0.091
51,18kts,Original,East Sea,2nd stage,cow,Uninstalled,420kg,19 frame,0.101
52,18kts,Original,East Sea,2nd stage,cow,big,80kg,21 frame,0.116
53,18kts,Original,West Sea,2nd stage,cow,cow,420kg,20 frames,0.021
54,18kts,Original,West Sea,2nd stage,cow,big,250kg,21 frame,0.041
55,18kts,Original,West Sea,2nd stage,middle,Uninstalled,420kg,21 frame,0.018
56,18kts,Original,West Sea,2nd stage,middle,big,80kg,19 frame,0.059
57,18kts,Bulbous,South Sea,2nd stage,Uninstalled,Uninstalled,420kg,21 frame,0.039
58,18kts,Bulbous,South Sea,2nd stage,Uninstalled,big,80kg,19 frame,0.08
59,18kts,Bulbous,South Sea,2nd stage,middle,cow,420kg,20 frames,0.033
60,18kts,Bulbous,South Sea,2nd stage,middle,big,250kg,21 frame,0.05
61,18kts,Bulbous,West Sea,2nd stage,Uninstalled,cow,420kg,21 frame,0.064
62,18kts,Bulbous,West Sea,2nd stage,Uninstalled,big,250kg,20 frames,0.083
63,18kts,Bulbous,West Sea,2nd stage,cow,Uninstalled,250kg,19 frame,0.076
64,18kts,Bulbous,West Sea,2nd stage,cow,cow,80kg,20 frames,0.097
65,18kts,Spoon,East Sea,2nd stage,Uninstalled,Uninstalled,80kg,20 frames,0.074
66,18kts,Spoon,East Sea,2nd stage,Uninstalled,cow,250kg,19 frame,0.055
67,18kts,Spoon,East Sea,2nd stage,middle,cow,250kg,21 frame,0.047
68,18kts,Spoon,East Sea,2nd stage,middle,big,420kg,20 frames,0.028
69,18kts,Spoon,South Sea,2nd stage,cow,Uninstalled,80kg,21 frame,0.073
70,18kts,Spoon,South Sea,2nd stage,cow,big,420kg,19 frame,0.035
71,18kts,Spoon,South Sea,2nd stage,middle,Uninstalled,80kg,20 frames,0.069
72,18kts,Spoon,South Sea,2nd stage,middle,cow,250kg,19 frame,0.051
73,14kts,Original,East Sea,3rd stage,cow,Uninstalled,80kg,21 frame,0.043
74,14kts,Original,East Sea,3rd stage,cow,Uninstalled,80kg,19 frame,0.043
75,14kts,Original,South Sea,3rd stage,cow,cow,420kg,20 frames,0.032
76,14kts,Original,West Sea,3rd stage,cow,cow,250kg,19 frame,0.102
77,14kts,Bulbous,East Sea,3rd stage,cow,big,80kg,21 frame,0.053
78,14kts,Bulbous,South Sea,3rd stage,cow,big,250kg,21 frame,0.091
79,14kts,Bulbous,West Sea,3rd stage,cow,Uninstalled,420kg,21 frame,0.062
80,14kts,Bulbous,West Sea,3rd stage,cow,Uninstalled,80kg,20 frames,0.101
81,14kts,Spoon,East Sea,3rd stage,cow,cow,420kg,19 frame,0.071
82,14kts,Spoon,South Sea,3rd stage,cow,Uninstalled,420kg,20 frames,0.008
83,14kts,Spoon,South Sea,3rd stage,cow,big,80kg,19 frame,0.021
84,14kts,Spoon,West Sea,3rd stage,cow,big,250kg,20 frames,0.072
85,16kts,Original,East Sea,3rd stage,cow,cow,250kg,21 frame,0.096
86,16kts,Original,South Sea,3rd stage,cow,big,420kg,19 frame,0.015
87,16kts,Original,West Sea,3rd stage,cow,cow,80kg,21 frame,0.009
88,16kts,Original,West Sea,3rd stage,cow,Uninstalled,250kg,20 frames,0.019
89,16kts,Bulbous,East Sea,3rd stage,cow,Uninstalled,420kg,21 frame,0.065
90,16kts,Bulbous,South Sea,3rd stage,cow,Uninstalled,250kg,19 frame,0.069
91,16kts,Bulbous,South Sea,3rd stage,cow,cow,250kg,20 frames,0.069
92,16kts,Bulbous,West Sea,3rd stage,cow,big,80kg,21 frame,0.084
93,16kts,Spoon,East Sea,3rd stage,cow,big,420kg,20 frames,0.026
94,16kts,Spoon,East Sea,3rd stage,cow,cow,250kg,21 frame,0.045
95,16kts,Spoon,South Sea,3rd stage,cow,big,80kg,20 frames,0.167
96,16kts,Spoon,West Sea,3rd stage,cow,Uninstalled,420kg,19 frame,0.062
97,18kts,Original,East Sea,3rd stage,cow,cow,80kg,19 frame,0.111
98,18kts,Original,South Sea,3rd stage,cow,big,250kg,20 frames,0.081
99,18kts,Original,South Sea,3rd stage,cow,Uninstalled,250kg,21 frame,0.081
100,18kts,Original,West Sea,3rd stage,cow,big,420kg,19 frame,0.021
101,18kts,Bulbous,East Sea,3rd stage,cow,cow,80kg,20 frames,0.086
102,18kts,Bulbous,East Sea,3rd stage,cow,cow,80kg,19 frame,0.086
103,18kts,Bulbous,South Sea,3rd stage,cow,cow,420kg,21 frame,0.033
104,18kts,Bulbous,West Sea,3rd stage,cow,Uninstalled,80kg,20 frames,0.096
105,18kts,Spoon,East Sea,3rd stage,cow,big,250kg,19 frame,0.049
106,18kts,Spoon,South Sea,3rd stage,cow,Uninstalled,80kg,21 frame,0.072
107,18kts,Spoon,West Sea,3rd stage,cow,cow,420kg,20 frames,0.116
108,18kts,Spoon,West Sea,3rd stage,cow,Uninstalled,250kg,19 frame,0.138
109,14kts,Original,East Sea,3rd stage,cow,big,420kg,21 frame,0.004
110,14kts,Original,East Sea,3rd stage,middle,Uninstalled,80kg,19 frame,0.039
111,14kts,Original,South Sea,3rd stage,middle,cow,420kg,20 frames,0.028
112,14kts,Original,West Sea,3rd stage,middle,cow,250kg,19 frame,0.098
113,14kts,Bulbous,East Sea,3rd stage,middle,big,80kg,21 frame,0.05
114,14kts,Bulbous,South Sea,3rd stage,middle,big,250kg,21 frame,0.089
115,14kts,Bulbous,West Sea,3rd stage,middle,Uninstalled,420kg,21 frame,0.057
116,14kts,Bulbous,West Sea,3rd stage,middle,Uninstalled,80kg,20 frames,0.097
117,14kts,Spoon,East Sea,3rd stage,middle,cow,420kg,19 frame,0.068
118,14kts,Spoon,South Sea,3rd stage,middle,Uninstalled,420kg,20 frames,0.003
119,14kts,Spoon,South Sea,3rd stage,middle,big,80kg,19 frame,0.02
120,14kts,Spoon,West Sea,3rd stage,middle,big,250kg,20 frames,0.069
121,16kts,Original,East Sea,3rd stage,middle,cow,250kg,21 frame,0.091
122,16kts,Original,South Sea,3rd stage,middle,big,420kg,19 frame,0.011
123,16kts,Original,West Sea,3rd stage,middle,cow,80kg,21 frame,0.005
124,16kts,Original,West Sea,3rd stage,middle,Uninstalled,250kg,20 frames,0.014
125,16kts,Bulbous,East Sea,3rd stage,middle,Uninstalled,420kg,21 frame,0.061
126,16kts,Bulbous,South Sea,3rd stage,middle,Uninstalled,250kg,19 frame,0.065
127,16kts,Bulbous,South Sea,3rd stage,middle,cow,250kg,20 frames,0.065
128,16kts,Bulbous,West Sea,3rd stage,middle,big,80kg,21 frame,0.081
129,16kts,Spoon,East Sea,3rd stage,middle,big,420kg,20 frames,0.022
130,16kts,Spoon,East Sea,3rd stage,middle,cow,250kg,21 frame,0.041
131,16kts,Spoon,South Sea,3rd stage,middle,big,80kg,20 frames,0.163
132,16kts,Spoon,West Sea,3rd stage,middle,Uninstalled,420kg,19 frame,0.059
133,18kts,Original,East Sea,3rd stage,middle,cow,80kg,19 frame,0.107
134,18kts,Original,South Sea,3rd stage,middle,big,250kg,20 frames,0.077
135,18kts,Original,South Sea,3rd stage,middle,Uninstalled,250kg,21 frame,0.077
136,18kts,Original,West Sea,3rd stage,middle,big,420kg,19 frame,0.018
137,18kts,Bulbous,East Sea,3rd stage,middle,cow,80kg,20 frames,0.083
138,18kts,Bulbous,East Sea,3rd stage,middle,cow,80kg,19 frame,0.083
139,18kts,Bulbous,South Sea,3rd stage,middle,cow,420kg,21 frame,0.031
140,18kts,Bulbous,West Sea,3rd stage,middle,Uninstalled,80kg,20 frames,0.093
141,18kts,Spoon,East Sea,3rd stage,middle,big,250kg,19 frame,0.045
142,18kts,Spoon,South Sea,3rd stage,middle,Uninstalled,80kg,21 frame,0.068
143,18kts,Spoon,West Sea,3rd stage,middle,cow,420kg,20 frames,0.112
144,18kts,Spoon,West Sea,3rd stage,middle,Uninstalled,250kg,19 frame,0.133
